addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
100101,2.8465346535,0.4331683168,2.7227722772,0.6806930693,0.1237623762,8.9727722772,0.8663366337,0.7425742574,17.3886138614,1.1249694302,0.1711910002,1.0760577158,0.269014429,0.0489117144,3.5460992908,0.3423820005,0.2934702861,6.872095867,46,7,44,11,2,145,14,12,281,3.2600992204,0.4961020553,0.779588944,3.118355776,0.1417434444,10.2763997165,0.9922041106,0.8504606662,19.9149539334,4089,25,61.1396429445,14.11,16.16,14.11,289.7944720057,87.9037221877,26.7640792432,0.1795724299
100102,1.2409513961,0.8273009307,6.411582213,0.2068252327,0.310237849,16.8562564633,1.1375387797,0.4136504654,27.4043433299,0.1035732781,0.0690488521,0.5351286035,0.017262213,0.0258933195,1.4068703608,0.0949421716,0.034524426,2.2872432246,12,8,62,2,3,163,11,4,265,1.8126888218,1.2084592145,0.3021148036,9.3655589124,0.4531722054,24.6223564955,1.6616314199,0.6042296073,40.0302114804,11586,44,37.9768686346,6.62,9.67,6.62,1750.1510574018,71.9597409718,33.9828723373,0.3091133378
100103,3.6144578313,1.8072289157,8.4337349398,0.9036144578,0.6024096386,28.0120481928,1.5060240964,0,44.8795180723,0.3527336861,0.176366843,0.8230452675,0.0881834215,0.0587889477,2.733686067,0.1469723692,0,4.379776602,12,6,28,3,2,93,5,0,149,6.0913705584,3.0456852792,1.5228426396,14.2131979695,1.0152284264,47.2081218274,2.538071066,0,75.6345177665,3402,22,64.6678424456,1.97,3.32,1.97,1726.9035532995,66.9048746274,2.2370321818,0.0170022496
100104,3.8585209003,1.2861736334,9.3247588424,0.9646302251,0.3215434084,25.0803858521,1.6077170418,0,42.4437299035,0.3497522588,0.1165840863,0.8452346255,0.0874380647,0.0291460216,2.2733896823,0.1457301078,0,3.847274847,12,4,29,3,1,78,5,0,132,5.5813953488,1.8604651163,1.3953488372,13.488372093,0.4651162791,36.2790697674,2.3255813953,0,61.3953488372,3431,26,75.7796560769,2.15,3.11,2.15,1595.8139534884,73.6742031306,2.1054529463,0.0140876452
100105,3.1791907514,3.1791907514,17.6300578035,3.1791907514,0.5780346821,45.0867052023,4.0462427746,0.5780346821,77.4566473988,0.3353658537,0.3353658537,1.8597560976,0.3353658537,0.0609756098,4.756097561,0.4268292683,0.0609756098,8.1707317073,11,11,61,11,2,156,14,2,268,7.9136690647,7.9136690647,7.9136690647,43.8848920863,1.4388489209,112.2302158273,10.071942446,1.4388489209,192.8057553957,3280,18,54.8780487805,1.39,3.46,1.39,2359.7122302158,84.9855330718,30.1074842913,0.215263215
100106,2.7322404372,1.6393442623,9.2896174863,4.9180327869,0,29.5081967213,0.5464480874,0,48.6338797814,0.2118644068,0.1271186441,0.7203389831,0.3813559322,0,2.2881355932,0.0423728814,0,3.7711864407,5,3,17,9,0,54,1,0,89,3.4965034965,2.0979020979,6.2937062937,11.8881118881,0,37.7622377622,0.6993006993,0,62.2377622378,2360,15,63.5593220339,1.43,1.83,1.43,1650.3496503497,83.599422734,20.0401007001,0.1361801552
100107,2.5641025641,1.4844804318,6.8825910931,1.4844804318,0.5398110661,29.0148448043,1.3495276653,0.6747638327,43.9946018893,0.3740893877,0.2165780665,1.0041346722,0.2165780665,0.0787556606,4.2331167553,0.1968891514,0.0984445757,6.4185863359,19,11,51,11,4,215,10,5,326,4.1758241758,2.4175824176,2.4175824176,11.2087912088,0.8791208791,47.2527472527,2.1978021978,1.0989010989,71.6483516484,5079,34,66.9423114786,4.55,7.41,4.55,1116.2637362637,82.3545021902,15.4121907116,0.1032318797
100108,1.1194029851,1.1194029851,6.7164179104,2.9850746269,0.3731343284,17.5373134328,0,0,29.8507462687,0.1163692785,0.1163692785,0.6982156711,0.310318076,0.0387897595,1.8231186967,0,0,3.1031807603,3,3,18,8,1,47,0,0,80,1.7142857143,1.7142857143,4.5714285714,10.2857142857,0.5714285714,26.8571428571,0,0,45.7142857143,2578,22,85.3374709077,1.75,2.68,1.75,1473.1428571429,72.7146117327,12.622859175,0.0798651872
100109,1.0498687664,0.5249343832,6.56167979,0.2624671916,0.5249343832,15.7480314961,1.8372703412,0,26.5091863517,0.1979218209,0.0989609104,1.2370113805,0.0494804552,0.0989609104,2.9688273132,0.3463631865,0,4.9975259772,4,2,25,1,2,60,7,0,101,1.2698412698,0.6349206349,0.3174603175,7.9365079365,0.6349206349,19.0476190476,2.2222222222,0,32.0634920635,2021,17,84.1167738743,3.15,3.81,3.15,641.5873015873,74.1945618087,9.9222120656,0.0626753102
100110,2.8050490884,2.5245441795,12.3422159888,1.2622720898,0.5610098177,35.7643758766,1.9635343619,0.2805049088,57.5035063114,0.2865329513,0.2578796562,1.2607449857,0.1289398281,0.0573065903,3.6532951289,0.2005730659,0.0286532951,5.8739255014,20,18,88,9,4,255,14,2,410,5.2356020942,4.7120418848,2.3560209424,23.0366492147,1.0471204188,66.7539267016,3.664921466,0.5235602094,107.3298429319,6980,42,60.1719197708,3.82,7.13,3.82,1827.2251308901,73.5750383115,13.4031185408,0.1002125112
